Group	Value
81	Low Dose	12.0172925576997
82	Low Dose	13.155841203379
83	Low Dose	10.8880199046228
84	Low Dose	13.9331296455565
85	Low Dose	11.3385403145437
86	Low Dose	12.9953458917471
87	Low Dose	15.290517039448
88	Low Dose	13.3055444725014
89	Low Dose	11.0222052434063
90	Low Dose	15.4464228553533
91	Low Dose	14.9805115678864
92	Low Dose	13.6451908785242
93	Low Dose	12.7161952053343
94	Low Dose	10.1162817718819
95	Low Dose	16.08195734559
96	Low Dose	10.1992212385586
97	Low Dose	18.5619989790497
98	Low Dose	16.5978318785556
99	Low Dose	11.2928989226986
100	Low Dose	8.92073729907966
101	Medium Dose	14.5791868726014
102	Medium Dose	16.5137674183131
103	Medium Dose	15.5066162430753
104	Medium Dose	15.3049148012045
105	Medium Dose	14.09676286547
106	Medium Dose	15.9099445503822
107	Medium Dose	14.4301910610858
108	Medium Dose	12.6641161268237
109	Medium Dose	15.2395469594245
110	Medium Dose	17.8379932181215
111	Medium Dose	14.8493060747832
112	Medium Dose	17.2159286444501
113	Medium Dose	12.7642345834217
114	Medium Dose	15.8888760689509
115	Medium Dose	17.0388144078869
116	Medium Dose	16.6023067243334
117	Medium Dose	16.2113523882979
118	Medium Dose	14.7185879833892
119	Medium Dose	14.3005913079328
120	Medium Dose	13.9517424187902
121	Medium Dose	16.2352931942003
122	Medium Dose	14.1050507716304
123	Medium Dose	15.0188851125987
124	Medium Dose	15.4878156156035
125	Medium Dose	19.6877240104644
126	Medium Dose	14.6961001966091
127	Medium Dose	16.4707731445697
128	Medium Dose	16.1559216991274
129	Medium Dose	14.0762867317397
130	Medium Dose	15.8573838277528
131	Medium Dose	18.8891017168467
132	Medium Dose	16.9030081061584
133	Medium Dose	16.0824658439859
134	Medium Dose	15.1550063353208
135	Medium Dose	11.893505556919
136	Medium Dose	18.2626744268284
137	Medium Dose	13.0787198581504
138	Medium Dose	17.4798950217547
139	Medium Dose	19.818207138435
140	Medium Dose	13.1122136780564
141	Medium Dose	17.4035686707494
142	Medium Dose	15.4756050211951
143	Medium Dose	12.855711681709
144	Medium Dose	12.9706646924365
145	Medium Dose	12.7969276528508
146	Medium Dose	14.9381869556594
147	Medium Dose	13.0764888300082
148	Medium Dose	17.3758335459517
149	Medium Dose	20.2002178810513
150	Medium Dose	13.4259390479296
151	High Dose	25.1509553899007
152	High Dose	25.0761689640036
153	High Dose	23.3288103158005
154	High Dose	17.966493566892
155	High Dose	21.5221895734774
156	High Dose	20.878418659319
157	High Dose	24.2519581328819
158	High Dose	20.5102449755847
159	High Dose	25.9078935467425
160	High Dose	20.5016765689319
161	High Dose	26.2108458623173
162	High Dose	17.8032919733357
163	High Dose	16.9593790209675
164	High Dose	34.9641597397696
165	High Dose	20.3325696473583
166	High Dose	23.1929103661629
167	High Dose	24.5462786961354
168	High Dose	20.064877497165
169	High Dose	24.0674481772544
170	High Dose	23.4758581095403
171	High Dose	21.1384779694332
172	High Dose	22.2611721341013
173	High Dose	21.8637309850461
174	High Dose	30.5138075960647
175	High Dose	19.0346556149087
176	High Dose	17.6160149317013
177	High Dose	22.1511535966843
178	High Dose	23.2419229977725
179	High Dose	23.7460939156407
180	High Dose	20.1665386691556
181	High Dose	17.7466954641152
182	High Dose	27.052740704358
183	High Dose	20.6013984481858
184	High Dose	18.5379485493865
185	High Dose	21.0548817242356
186	High Dose	21.2112964226058
187	High Dose	26.4396811588546
188	High Dose	22.3389491687888
189	High Dose	25.0162151407381
190	High Dose	20.002831931311
191	High Dose	22.8577812383264
192	High Dose	20.7012563540367
193	High Dose	22.3783341126943
194	High Dose	18.4185465680898
195	High Dose	16.7567938666881
196	High Dose	29.9888535389919
197	High Dose	24.4028352946897
198	High Dose	16.9949145535002
199	High Dose	19.5553363332783
200	High Dose	17.2580796616108
